,spring-petclinic-config-server.org.springframework.samples.petclinic.config.ConfigServerApplication,spring-petclinic-discovery-server.org.springframework.samples.petclinic.discovery.DiscoveryServerApplication,spring-petclinic-admin-server.org.springframework.samples.petclinic.admin.SpringBootAdminApplication,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.Specialty,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.Vet,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.VetRepository,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.CacheConfig,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.VetsProperties$Cache,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.VetsProperties,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.web.VetResource,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.VetsServiceApplication,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.application.CustomersServiceClient,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.application.VisitsServiceClient,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.OwnerDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.PetDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.PetType,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.VisitDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.Visits,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.ApiGatewayApplication,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.Owner,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.OwnerRepository,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.Pet,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.PetRepository,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.PetType,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.OwnerResource,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetDetails,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetRequest,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetResource,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.ResourceNotFoundException,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.CustomersServiceApplication,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.model.Visit,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.model.VisitRepository,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.web.VisitResource$Visits,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.web.VisitResource,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.VisitsServiceApplication
0,7,10,10,7,11,2,8,8,2,2,9,11,3,3,3,3,3,7,7,11,2,8,8,2,2,4,6,6,6,6,6,5,10,10,10,7
1,7,4,2,4,4,6,6,9,6,6,6,1,10,10,7,7,2,4,4,2,8,6,6,6,6,5,1,7,10,7,7,4,2,4,4,2
2,2,8,6,6,6,3,7,7,7,7,7,2,4,4,2,2,6,9,6,6,6,3,3,1,11,10,11,4,2,2,4,10,6,6,3,3
3,3,3,3,7,10,10,10,10,11,8,8,8,6,6,6,6,9,8,8,10,3,3,3,1,7,1,1,1,11,11,11,11,11,11,6,2
4,9,8,2,6,3,8,2,4,5,5,1,1,1,1,1,1,1,1,1,11,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,5
5,5,8,8,2,4,2,4,6,2,8,8,2,4,9,2,3,8,2,10,9,2,2,8,2,2,9,2,12,8,2,2,9,2,10,9,2
6,2,8,2,2,4,2,2,8,2,6,2,9,2,2,9,2,2,9,2,2,8,2,2,4,2,8,8,2,9,10,9,2,8,9,2,9
7,8,2,4,2,2,8,5,2,9,4,2,12,8,2,8,4,2,6,5,2,8,2,2,4,2,3,7,7,1,1,11,11,11,4,12,4
8,12,12,3,12,3,9,2,9,9,2,8,4,2,4,5,2,8,5,2,9,10,8,2,3,7,9,1,1,7,12,2,12,12,12,2,12
9,12,2,12,9,2,12,9,2,2,9,2,2,8,1,1,4,1,1,8,2,2,7,4,2,11,9,12,2,9,9,2,8,8,2,2,9
10,5,2,8,8,2,4,4,2,4,9,2,8,8,2,6,2,8,8,2,4,2,5,5,2,9,2,2,9,2,9,8,2,8,6,2,8
11,8,2,2,9,5,2,8,8,2,2,4,4,2,8,8,2,2,9,10,3,3,3,3,7,9,10,10,9,7,11,11,12,12,12,12,12
12,12,12,12,12,6,2,8,8,12,2,9,4,2,3,8,1,2,9,1,2,8,11,11,6,2,8,8,2,2,4,6,2,8,8,2,2
13,4,4,2,8,8,2,10,4,10,1,7,7,11,11,11,11,11,2,12,4,10,12,3,3,6,2,8,9,2,2,9,4,2,2,8,9
14,2,2,8,9,2,2,9,9,2,2,8,8,2,2,9,9,2,2,8,9,2,2,8,8,2,2,9,9,2,2,8,8,2,2,8,4
15,2,2,9,4,2,2,9,9,2,2,8,8,2,2,4,9,2,2,8,8,2,2,9,2,2,8,8,2,2,9,2,2,8,8,2,10
16,9,9,2,2,8,8,2,2,9,9,2,2,8,8,2,2,9,4,2,2,8,8,2,2,9,9,2,2,8,8,2,2,7,9,2,2
17,8,8,2,2,9,9,2,2,8,9,2,2,2,4,4,12,2,2,2,8,8,4,10,2,2,2,8,8,8,2,1,2,10,8,8,8
18,2,10,2,8,8,8,8,2,2,2,3,8,9,3,2,2,2,9,9,9,4,2,2,2,5,8,8,8,5,5,5,8,8,3,1,1
19,7,7,7,2,2,2,2,8,8,4,8,6,6,6,5,8,1,1,10,4,4,4,4,11,6,6,6,6,6,10,2,2,2,8,8,4
