,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,precision,recall,SRP@0,SRP@1,SRP@2,SRP@3,SRP@4,SRP@5,SRP@6,SRP@7,SRP@8,SRP@9,SRP@10,SRR@0,SRR@1,SRR@2,SRR@3,SRR@4,SRR@5,SRR@6,SRR@7,SRR@8,SRR@9,SRR@10,accuracy,precision,recall,f1_score,roc_auc,fbeta_score
0,CombSequentialDQN36351552/CombSequentialDQN36351552_10_882,0.3177803244280827,0.048556195907800324,0.051015739656770004,0.03037419735030881,0.6110317384804722,19.45,0.7,20,1.0,0.36928462741438145,0.11950162431184778,1.0,1.0,1.0,0.8,0.45,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045031944680785,0.2107668142224761,0.06954391255182812,0.10458072058667232,0.5091986742711391,0.1882766072393301
1,CombSequentialDQN36351552/CombSequentialDQN36351552_10_883,0.32587511237091904,0.050765655797652284,0.05933890713391205,0.03471054029417004,0.6135703503137999,18.9,0.65,20,1.0,0.3650110509399995,0.10347739173261306,1.0,1.0,1.0,0.8,0.35,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8007982302801541,0.20998719590268886,0.07727101394647569,0.11297099951780669,0.5100870810695899,0.19071854648935585
2,CombSequentialDQN36351552/CombSequentialDQN36351552_10_884,0.32582661284251013,0.04997466332529536,0.05566374036790361,0.027016316459292318,0.5820446613766924,18.8,0.8,20,1.0,0.37385425217456725,0.11006368406567127,1.0,1.0,1.0,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077053973361384,0.22918838421444526,0.07251225028269884,0.1101685815526683,0.5123069108014334,0.20334359261331839
3,CombSequentialDQN36351552/CombSequentialDQN36351552_10_885,0.3257172730681738,0.04983814825239875,0.06501953475883633,0.03819925946266745,0.6155790397439643,18.6,0.6,20,1.0,0.3573833354950916,0.08221965166725294,1.0,1.0,1.0,0.75,0.25,0.1,0.05,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8010766827034637,0.20159362549800797,0.0715228043724086,0.10558530986993116,0.5079440380804132,0.1821120081296223
4,CombSequentialDQN36351552/CombSequentialDQN36351552_10_886,0.3204421566346834,0.05011567404468843,0.07147920518252451,0.05892527964883776,0.6018645886023574,18.8,0.75,20,1.0,0.4201967839722661,0.10247831512602538,1.0,1.0,1.0,0.85,0.55,0.3,0.05,0.05,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8024844143990842,0.22173464119772845,0.08094609875612514,0.11859726632610798,0.5125723997509967,0.20115433357209764
5,CombSequentialDQN36351552/CombSequentialDQN36351552_10_887,0.3254051401353907,0.05104609201560525,0.06765240734786357,0.03334268348326988,0.6085444411784674,19.1,0.65,20,1.0,0.40676893078994614,0.14552177664095373,1.0,1.0,1.0,0.85,0.5,0.2,0.1,0.05,0.05,0.0,0.0,1.0,0.6,0.15,0.1,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.802376127345575,0.22311827956989247,0.08212401055408972,0.12005785920925748,0.5129809036872167,0.20265224052087322
6,CombSequentialDQN36351552/CombSequentialDQN36351552_10_888,0.32301245425384784,0.050439588462307595,0.0777674042888756,0.045200919782899855,0.6110600444826038,18.95,0.8,20,1.0,0.45129930220432585,0.10658307633131656,1.0,1.0,1.0,0.7,0.45,0.4,0.25,0.15,0.05,0.05,0.05,1.0,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8020048574478288,0.22538925163234555,0.08457406709385601,0.1229957516787721,0.5137432346166843,0.20528362305580972
7,CombSequentialDQN36351552/CombSequentialDQN36351552_10_889,0.3316723959131288,0.05179987252658338,0.06241209842159532,0.04206089848127041,0.5999452511918251,19.0,0.6,20,1.0,0.40847040034663396,0.13002529192161474,1.0,1.0,1.0,0.85,0.55,0.2,0.1,0.0,0.0,0.0,0.0,1.0,0.55,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8051451819995978,0.2459016393442623,0.09046362608367886,0.13226784238082115,0.5179881936381638,0.22332913678909624
8,CombSequentialDQN36351552/CombSequentialDQN36351552_10_890,0.33037385400529107,0.050118837539822235,0.08550482446928354,0.04349296717012839,0.5719547740927347,18.5,0.4,20,1.0,0.390557236260243,0.10730296263116926,1.0,1.0,1.0,0.8,0.35,0.2,0.15,0.0,0.0,0.0,0.0,1.0,0.35,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7803397119564377,0.21669430624654507,0.12928759894459102,0.16195001032844453,0.5187488502764634,0.20840630472854643
9,CombSequentialDQN36351552/CombSequentialDQN36351552_10_891,0.3222972300937893,0.050046644296848464,0.05957312703627517,0.032902627012408966,0.6000621414458107,18.8,0.55,20,1.0,0.3662159568568571,0.09454140981949362,1.0,1.0,0.95,0.7,0.35,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7947882988103894,0.18866596268919394,0.07576328684508105,0.10811174236057419,0.5058861223327957,0.17346058175541906
