,spring-petclinic-config-server.org.springframework.samples.petclinic.config.ConfigServerApplication,spring-petclinic-discovery-server.org.springframework.samples.petclinic.discovery.DiscoveryServerApplication,spring-petclinic-admin-server.org.springframework.samples.petclinic.admin.SpringBootAdminApplication,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.Specialty,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.Vet,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.model.VetRepository,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.CacheConfig,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.VetsProperties$Cache,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.system.VetsProperties,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.web.VetResource,spring-petclinic-vets-service.org.springframework.samples.petclinic.vets.VetsServiceApplication,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.application.CustomersServiceClient,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.application.VisitsServiceClient,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.boundary.web.ApiGatewayController,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.OwnerDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.PetDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.PetType,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.VisitDetails,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.dto.Visits,spring-petclinic-api-gateway.org.springframework.samples.petclinic.api.ApiGatewayApplication,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.Owner,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.OwnerRepository,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.Pet,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.PetRepository,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.model.PetType,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.OwnerResource,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetDetails,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetRequest,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.PetResource,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.web.ResourceNotFoundException,spring-petclinic-customers-service.org.springframework.samples.petclinic.customers.CustomersServiceApplication,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.model.Visit,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.model.VisitRepository,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.web.VisitResource$Visits,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.web.VisitResource,spring-petclinic-visits-service.org.springframework.samples.petclinic.visits.VisitsServiceApplication
0,5,5,5,5,5,5,5,5,5,5,5,1,0,1,1,2,2,2,0,5,3,4,3,3,3,4,3,3,3,5,5,5,5,5,5,5
1,6,6,6,6,6,6,6,6,6,6,6,1,0,1,1,2,2,2,0,6,5,5,3,4,3,5,3,4,3,6,6,6,6,6,6,6
2,5,5,5,5,5,5,5,5,5,5,5,1,0,1,1,2,2,2,0,5,3,4,3,3,3,4,3,3,3,5,5,5,5,5,5,5
3,5,5,5,5,5,5,5,5,5,5,5,2,0,2,2,1,1,1,1,5,3,4,3,3,3,4,3,3,3,5,5,5,5,5,5,5
4,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
5,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,1,1,0,4,2,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4
6,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
8,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,1,1,0,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
9,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
10,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
11,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
13,5,5,5,5,5,5,5,5,5,5,5,2,0,2,2,1,1,1,1,5,3,3,3,4,3,3,3,3,3,5,5,5,5,5,5,5
14,5,5,5,5,5,5,5,5,5,5,5,2,0,0,2,1,1,1,0,5,3,4,3,3,3,4,3,3,3,5,5,5,5,5,5,5
15,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
17,5,5,5,5,5,5,5,5,5,5,5,1,0,1,1,2,2,2,0,5,3,4,3,3,3,4,3,3,3,5,5,5,5,5,5,5
18,4,4,4,4,4,4,4,4,4,4,4,2,0,2,2,1,1,1,1,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
