,org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.CartTest,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.OrderTest,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapperTest,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapperTest,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ItemMapperTest,org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.LineItemMapperTest,org.mybatis.jpetstore.mapper.MapperTestContext,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.OrderMapperTest,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.mapper.ProductMapperTest,org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.mapper.SequenceMapperTest,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.AccountServiceTest,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.service.CatalogServiceTest,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.service.OrderServiceTest,org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AccountActionBeanTest,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBeanTest,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBeanTest,org.mybatis.jpetstore.ScreenTransitionIT,MavenWrapperDownloader$1,MavenWrapperDownloader
0,1.0,4.0,1.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.0,4.0,0.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0
3,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0
4,3.0,3.0,3.0,3.0,2.0,0.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0
5,2.0,6.0,2.0,6.0,7.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6,2.0,4.0,2.0,4.0,3.0,5.0,1.0,1.0,5.0,2.0,0.0,5.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,5.0,2.0,2.0
7,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,6.0,0.0,0.0,5.0,5.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0
8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,5.0,6.0,5.0,3.0,0.0,0.0,6.0,6.0,2.0,0.0,6.0,4.0,0.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,0.0,1.0,4.0,6.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
