,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,bcp
0,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5713,0.3437916571909936,0.0567988715216455,0.3333925049309664,0.1801577909270216,0.2220009800090756,10.333333333333334,1.0,3,1.0,2.736135336835737
1,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5714,0.3448945376827507,0.0945639220767727,0.8292857142857144,0.558125,0.1028424178935637,2.2857142857142856,1.0,7,1.0,1.8645465393351217
2,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5715,0.3527962393859992,0.0530487654211076,0.0,0.0,0.0,0.0,1.0,1,1.0,2.8332133440562157
3,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5716,0.3569099501380124,0.0491822302386882,0.6691704459561603,0.3540721844293273,0.0204648798302019,2.0,1.0,3,1.0,2.8332133440562157
4,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5717,0.3527962393859992,0.0530487654211076,0.0,0.0,0.0,0.0,1.0,1,1.0,2.8332133440562157
5,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5718,0.3527962393859992,0.0530487654211076,0.0,0.0,0.0,0.0,1.0,1,1.0,2.8332133440562157
6,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5719,0.5280603571037016,0.2035401357980836,0.7539676779406784,0.4888469540813857,0.0173999111293826,1.5,1.0,4,1.0,2.8332133440562157
7,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5720,0.3207703275009687,0.0481384190456784,0.7518870663376397,0.7388106643441233,0.0239066970078122,1.0,1.0,4,1.0,2.8332133440562157
8,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5721,0.3113079915105258,0.0362323796319174,0.462076124567474,0.185190311418685,0.0384064016845533,5.0,1.0,2,1.0,2.8332133440562157
9,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5722,0.3829742585658272,0.0609699360574719,0.5096885813148789,0.0423529411764705,0.0042878525143995,1.0,1.0,2,1.0,2.8332133440562157
10,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5723,0.3527962393859992,0.0530487654211076,0.0,0.0,0.0,0.0,1.0,1,1.0,2.8332133440562157
11,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5724,0.3776756804943491,0.0573429530730529,0.5096885813148789,0.3637370242214532,0.0089869241245999,0.5,1.0,2,1.0,2.8332133440562157
12,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5725,0.2845552377916027,0.0535852651477274,0.6488567649281936,0.6386054421768707,0.0524326029630337,3.333333333333333,1.0,3,1.0,2.0781369085727905
13,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5726,0.3321488171339377,0.0434868418315036,0.4977854671280276,0.4708650519031142,0.0140573434297103,0.5,1.0,2,1.0,2.8332133440562157
14,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5727,0.3761153888345565,0.0526586996029425,0.6732331821617535,0.3459467120181406,0.0083458531097907,1.3333333333333333,1.0,3,1.0,2.8332133440562157
15,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5728,0.3054217777999865,0.0516583826494246,0.3357516968628078,0.2562854546981532,0.2478106317479094,12.0,1.0,3,1.0,2.5794960408315486
16,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5729,0.3153434246830289,0.2265381503827316,0.4858823529411764,0.0423529411764705,0.0175626291533989,0.5,1.0,2,1.0,1.416606672028108
17,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5730,0.3666175109043534,0.0517526731307858,0.0403696051423324,0.0364876033057851,0.261559592382367,10.0,1.0,2,1.0,1.9659128163621624
18,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5731,0.3517884425387092,0.056376770027179,0.3912480105363385,0.0858536102249744,0.1331357173722928,8.666666666666666,0.6666666666666667,3,1.0,2.8332133440562157
19,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5732,0.3680698359986946,0.05548033926886,0.4365256658464551,0.2155691079023448,0.3295882596422005,7.2,0.8,5,1.0,1.8888088960374771
20,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5733,0.3510962867412969,0.0425848206399369,0.3756157938381965,0.3542255228537695,0.1217374555986874,4.666666666666667,0.6666666666666667,3,1.0,1.9659128163621624
21,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5734,0.384662020464144,0.0484272772110903,0.4918339100346021,0.5065743944636678,0.0213413704875629,0.5,1.0,2,1.0,2.8332133440562157
22,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5735,0.3608709048781752,0.042750117742999,0.7404437025209271,0.2097546813761068,0.0715519148292702,3.5,1.0,4,1.0,1.4808837521634388
23,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5736,0.3829711459238594,0.0517517920487281,0.5156401384083045,0.458961937716263,0.0031407951971696,0.5,1.0,2,1.0,2.8332133440562157
24,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5737,0.3537762804477218,0.0566397597205833,0.5037370242214534,0.0423529411764705,0.014769584505952,1.5,1.0,2,1.0,1.416606672028108
25,CombSequentialDQN36435540/CombSequentialDQN36435540_10_5738,0.3503823447741454,0.0533469651668604,0.0462958043177823,0.046209126648687,0.2078089979718543,14.5,1.0,2,1.0,2.736135336835737
