,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,bcp
0,SequentialDQN36410381/SequentialDQN36410381_6_4137,0.3495517682496318,0.0523174123369874,0.2551649821640903,0.1489670035671819,0.0096947667387483,1.0,1.0,2,1.0,4.4188406077966
1,SequentialDQN36410381/SequentialDQN36410381_6_4138,0.3705047129783583,0.0477137751028886,0.6207294552169899,0.6086488150200062,0.0521033842765477,2.0,1.0,4,1.0,2.0702000256748847
2,SequentialDQN36410381/SequentialDQN36410381_6_4139,0.3907606873358955,0.0405064767884966,0.8284856553632495,0.8201373117184849,0.0786374211006889,2.5,1.0,6,1.0,2.060988927849351
3,SequentialDQN36410381/SequentialDQN36410381_6_4140,0.3877459095430962,0.0350484772810062,0.6715715418152993,0.6329270709472851,0.0103702286615632,1.0,1.0,3,1.0,1.4689064157547511
4,SequentialDQN36410381/SequentialDQN36410381_6_4141,0.4115843416080823,0.0379753605001022,0.7500063011972274,0.7309262759924386,0.0234634610770695,2.0,1.0,4,1.0,2.0094261734102337
5,SequentialDQN36410381/SequentialDQN36410381_6_4142,0.3818999929023721,0.0377754109073267,0.5048801030519223,0.3288495838287752,0.0099391830215905,0.6666666666666666,1.0,3,1.0,2.20535506171094
6,SequentialDQN36410381/SequentialDQN36410381_6_4143,0.3837870310026931,0.0587603178061761,0.5809552120491479,0.6621581450653984,0.1649000971713184,1.0,1.0,3,1.0,3.3328568112609407
7,SequentialDQN36410381/SequentialDQN36410381_6_4144,0.3971915829994745,0.0382490038669585,0.6686484344034881,0.6533888228299642,0.0098819569457323,1.6666666666666667,1.0,3,1.0,4.4188406077966
8,SequentialDQN36410381/SequentialDQN36410381_6_4145,0.3922555871850755,0.0485664774353164,0.387718799880962,0.4103427752076399,0.0351983137681838,4.666666666666667,0.6666666666666667,3,1.0,3.1053000385123273
9,SequentialDQN36410381/SequentialDQN36410381_6_4146,0.3437842904284202,0.0473725850966693,0.0,0.0,0.0,0.0,1.0,1,1.0,4.4188406077966
10,SequentialDQN36410381/SequentialDQN36410381_6_4147,0.3683590686954173,0.0458800616889315,0.6540820366927449,0.658427477550545,0.2090667151588962,2.857142857142857,0.8571428571428572,7,1.0,2.1562228926066394
11,SequentialDQN36410381/SequentialDQN36410381_6_4148,0.3781438984988803,0.0467146012676518,0.5838759376299539,0.5209099227926465,0.2296715965993423,3.125,0.875,8,1.0,2.015934192596331
12,SequentialDQN36410381/SequentialDQN36410381_6_4149,0.3775110026370487,0.04065767601958,0.538904655121513,0.5611611736107185,0.3262199794515635,5.0,1.0,4,1.0,2.8026082181202914
13,SequentialDQN36410381/SequentialDQN36410381_6_4150,0.3380797945233408,0.0392484509031101,0.6180363188673439,0.4148584179747613,0.0820567441461162,2.25,1.0,4,1.0,2.8689693973736228
14,SequentialDQN36410381/SequentialDQN36410381_6_4151,0.3823347694259483,0.0367391752241657,0.6995420110192837,0.6637052341597798,0.1876683776055924,1.6666666666666667,1.0,6,1.0,2.0237520418939536
15,SequentialDQN36410381/SequentialDQN36410381_6_4152,0.3657809602466784,0.0418130393398879,0.5374314128943759,0.5166666666666668,0.1757782273131171,4.4,0.8,5,1.0,2.058320604461836
16,SequentialDQN36410381/SequentialDQN36410381_6_4153,0.4047543791750465,0.0558300304214288,0.5693672839506172,0.3755658436213991,0.0319372013576567,1.8,0.8,5,1.0,2.228203909222642
17,SequentialDQN36410381/SequentialDQN36410381_6_4154,0.4028013292926831,0.0432854766518907,0.5029585798816568,0.4718387026079335,0.0047679487898234,1.5,1.0,2,1.0,4.4188406077966
