,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,bcp
0,SequentialDQN32548085/SequentialDQN32548085_3_0,0.316193384620897,0.037350093722377,0.057092658790986114,0.015021353704957496,0.8220127706505894,15.2,0.25,20,1.0,
1,SequentialDQN32548085/SequentialDQN32548085_3_1,0.3119042393896126,0.03669051526156703,0.06310807157314748,0.008061012050617267,0.8217315583959851,15.1,0.35,20,1.0,
2,SequentialDQN32548085/SequentialDQN32548085_3_2,0.31436665737775416,0.03729192062953284,0.060684546991882346,0.006381299993871048,0.8221472143283272,15.1,0.30000000000000004,20,1.0,
3,SequentialDQN32548085/SequentialDQN32548085_3_3,0.31566122813809444,0.03786469426552162,0.057295524658325936,0.005594363959371962,0.8224726946528835,15.2,0.25,20,1.0,
4,SequentialDQN32548085/SequentialDQN32548085_3_4,0.31554476911041673,0.03770804969118653,0.05841025072098539,0.013550010673521351,0.826501582268774,15.25,0.35,20,1.0,
5,SequentialDQN32548085/SequentialDQN32548085_3_5,0.31557986951798694,0.037504896801624985,0.0626251729204681,0.00970303453115251,0.816357451913738,14.95,0.35,20,1.0,
6,SequentialDQN32548085/SequentialDQN32548085_3_6,0.3146305551218075,0.037250317524898484,0.061828352845155886,0.011477397115231103,0.8240855748031374,15.2,0.4,20,1.0,
7,SequentialDQN32548085/SequentialDQN32548085_3_7,0.31316447043850404,0.0373577017180704,0.05844940010323536,0.019327368835466707,0.8336728122320634,15.3,0.35,20,1.0,
8,SequentialDQN32548085/SequentialDQN32548085_3_8,0.3159753352622602,0.03726230049638273,0.0625097147459448,0.012863246538751483,0.8182485601309603,15.25,0.35,20,1.0,
9,SequentialDQN32548085/SequentialDQN32548085_3_9,0.31523414028453356,0.03811396169501161,0.07164236097602796,0.011838015147407344,0.8069267759737346,14.8,0.35,20,1.0,
10,SequentialDQN32548085/SequentialDQN32548085_3_10,0.3134001137825012,0.03620157693514668,0.06813842135451383,0.030606470096681826,0.8233426592043886,15.3,0.30000000000000004,20,1.0,
11,SequentialDQN32548085/SequentialDQN32548085_3_11,0.3189948912524254,0.038107764059493426,0.06688116650915064,0.005935261534055658,0.8144580701177222,14.8,0.30000000000000004,20,1.0,
12,SequentialDQN32548085/SequentialDQN32548085_3_12,0.31873121222506745,0.038329005237742506,0.061973030299886475,0.011072380769859946,0.8174757252270702,15.25,0.44999999999999996,20,1.0,
13,SequentialDQN32548085/SequentialDQN32548085_3_13,0.3165085993638326,0.037948590203034795,0.07307143687192977,0.004279365849830685,0.8060342467350325,14.5,0.4,20,1.0,
