,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,bcp
0,CombSequentialDQN32307905/CombSequentialDQN32307905_5_0,0.1714668006290861,0.02661944491231517,0.04940775340757212,0.02212989758776418,0.7613721040643551,18.15,0.55,20,1.0,
1,CombSequentialDQN32307905/CombSequentialDQN32307905_5_1,0.1678006449978423,0.02734743344005889,0.04940931566340362,0.023376546821671562,0.7631517671253817,18.0,0.5,20,1.0,
2,CombSequentialDQN32307905/CombSequentialDQN32307905_5_2,0.17844059138727544,0.027753526518666072,0.05317039916272477,0.016914334492421856,0.7499079481956281,18.0,0.5,20,1.0,
3,CombSequentialDQN32307905/CombSequentialDQN32307905_5_3,0.17375201160179846,0.02737154820997073,0.049319233757103745,0.01923406809727468,0.7572552376326127,18.1,0.6,20,1.0,
4,CombSequentialDQN32307905/CombSequentialDQN32307905_5_4,0.1649966714715376,0.026137625566006524,0.04963251839816862,0.013861622434555243,0.7617906803063206,17.95,0.6,20,1.0,
5,CombSequentialDQN32307905/CombSequentialDQN32307905_5_5,0.16777384012852065,0.02592030219508849,0.047451563297593626,0.016684976916361394,0.7640958654727161,18.1,0.55,20,1.0,
6,CombSequentialDQN32307905/CombSequentialDQN32307905_5_6,0.1747908847831942,0.027853111864092235,0.05269008892226096,0.010554604876323537,0.7538569911574278,17.95,0.5,20,1.0,
7,CombSequentialDQN32307905/CombSequentialDQN32307905_5_7,0.17052356031927998,0.02714342052685333,0.05117652254731751,0.023426997613042233,0.7510657689713099,17.9,0.65,20,1.0,
8,CombSequentialDQN32307905/CombSequentialDQN32307905_5_8,0.180995056031267,0.029000227189430555,0.053831453864383365,0.019008842147317906,0.754120416827994,17.95,0.5,20,1.0,
9,CombSequentialDQN32307905/CombSequentialDQN32307905_5_9,0.17753132356436124,0.02782120859565143,0.05635346259094848,0.018253059941652827,0.7472532418058274,17.65,0.55,20,1.0,
10,CombSequentialDQN32307905/CombSequentialDQN32307905_5_10,0.17162383997162017,0.027114869584455775,0.058635649152123416,0.015954733441421176,0.7442496035238336,18.1,0.55,20,1.0,
11,CombSequentialDQN32307905/CombSequentialDQN32307905_5_11,0.173250570035982,0.027325205944869164,0.060268988204243944,0.02668284945621835,0.7357060035255607,17.55,0.35,20,1.0,
12,CombSequentialDQN32307905/CombSequentialDQN32307905_5_12,0.18426153722297883,0.02948449809798534,0.06321640179291244,0.03893473922198365,0.7350112354144693,18.0,0.44999999999999996,20,1.0,
13,CombSequentialDQN32307905/CombSequentialDQN32307905_5_13,0.1835412836453509,0.029046525863730622,0.06136953031666311,0.023140901666594882,0.7250777441529058,17.7,0.35,20,1.0,
14,CombSequentialDQN32307905/CombSequentialDQN32307905_5_14,0.17085299815983448,0.02802951332225881,0.06711217732873527,0.02304032288330815,0.7331641977225476,17.7,0.6,20,1.0,
15,CombSequentialDQN32307905/CombSequentialDQN32307905_5_15,0.16781056367330432,0.026505467530332734,0.059471984515076876,0.01798433382914466,0.7374001697162704,17.9,0.5,20,1.0,
16,CombSequentialDQN32307905/CombSequentialDQN32307905_5_16,0.17076337555822818,0.029110713200067206,0.05947778717408498,0.021510116872541007,0.7380179698086097,17.85,0.4,20,1.0,
17,CombSequentialDQN32307905/CombSequentialDQN32307905_5_17,0.18180350641033152,0.0284743311507066,0.06745108864328846,0.040742355204967495,0.7272999183073108,17.65,0.4,20,1.0,
18,CombSequentialDQN32307905/CombSequentialDQN32307905_5_18,0.18290500486980182,0.029087283650834905,0.0721507610798448,0.039480533696339304,0.7433516045163184,17.75,0.55,20,1.0,
19,CombSequentialDQN32307905/CombSequentialDQN32307905_5_19,0.1756714561350565,0.02804371779333904,0.055294513032076026,0.03448085006903212,0.7437504656089412,18.1,0.55,20,1.0,
20,CombSequentialDQN32307905/CombSequentialDQN32307905_5_20,0.1785410899857151,0.02801104610409999,0.06071374092173695,0.04413868506582619,0.7430855011989577,17.7,0.44999999999999996,20,1.0,
21,CombSequentialDQN32307905/CombSequentialDQN32307905_5_21,0.17712029770591037,0.028045279201871005,0.06526737637761384,0.0241341572412499,0.735176691837149,18.0,0.55,20,1.0,
22,CombSequentialDQN32307905/CombSequentialDQN32307905_5_22,0.1841128323897291,0.02914278237837445,0.05942038014213392,0.013399413467824473,0.7426161439269631,17.95,0.44999999999999996,20,1.0,
23,CombSequentialDQN32307905/CombSequentialDQN32307905_5_23,0.18069248425932535,0.028037580135397873,0.06748788400823923,0.037169273102158895,0.7332552045448022,17.95,0.5,20,1.0,
24,CombSequentialDQN32307905/CombSequentialDQN32307905_5_24,0.1830303571364466,0.02886318439061119,0.05817965588066702,0.029070115359586257,0.74185504323247,17.85,0.5,20,1.0,
25,CombSequentialDQN32307905/CombSequentialDQN32307905_5_25,0.20611674957233053,0.031126980692717476,0.07035696532998804,0.028576457910703734,0.7215751799731231,17.6,0.35,20,1.0,
26,CombSequentialDQN32307905/CombSequentialDQN32307905_5_26,0.1941701164911892,0.030769990862729652,0.06867727811046238,0.03472122589458004,0.7296965945534346,17.8,0.44999999999999996,20,1.0,
27,CombSequentialDQN32307905/CombSequentialDQN32307905_5_27,0.19304200112865869,0.03078802914043568,0.08204450867464479,0.053549629359249895,0.7183645441994018,17.6,0.4,20,1.0,
28,CombSequentialDQN32307905/CombSequentialDQN32307905_5_28,0.18378310681009463,0.028862211361560475,0.07065649510127354,0.027624825957736188,0.7367382033158459,17.7,0.55,20,1.0,
29,CombSequentialDQN32307905/CombSequentialDQN32307905_5_29,0.18374578840813363,0.029034981778649126,0.07409868878569782,0.025757025777637277,0.7323754210864926,17.6,0.5,20,1.0,
30,CombSequentialDQN32307905/CombSequentialDQN32307905_5_30,0.17912502041829034,0.02748146851443607,0.06585540026193715,0.03652238464765334,0.7455989751526807,17.9,0.5,20,1.0,
31,CombSequentialDQN32307905/CombSequentialDQN32307905_5_31,0.18653963458177109,0.030286097411420448,0.0733578252235772,0.02863158778142949,0.7329618415885565,17.9,0.55,20,1.0,
32,CombSequentialDQN32307905/CombSequentialDQN32307905_5_32,0.1727040673694448,0.027442450843453647,0.05922546970616946,0.018290602724745364,0.7442506372603085,17.75,0.5,20,1.0,
33,CombSequentialDQN32307905/CombSequentialDQN32307905_5_33,0.17729804811409067,0.028080971604668582,0.06365604927111773,0.03414334493170079,0.7352870822299626,17.6,0.4,20,1.0,
34,CombSequentialDQN32307905/CombSequentialDQN32307905_5_34,0.18233145194794734,0.028400498864151903,0.06062836792101893,0.03227576022453715,0.7338165804285386,17.8,0.55,20,1.0,
35,CombSequentialDQN32307905/CombSequentialDQN32307905_5_35,0.19146330250695728,0.02995171265860753,0.11293181381769622,0.05976871953737595,0.7292423885853379,17.65,0.55,20,1.0,
36,CombSequentialDQN32307905/CombSequentialDQN32307905_5_36,0.23721546522278664,0.035693162076133364,0.2644812425245674,0.07220809459082767,0.48093698003556345,14.1,0.5,20,1.0,
37,CombSequentialDQN32307905/CombSequentialDQN32307905_5_37,0.29167001338315895,0.04389962605949793,0.23522186387896776,0.11925262546029669,0.4708014036388143,16.210526315789473,0.5263157894736843,19,1.0,
38,CombSequentialDQN32307905/CombSequentialDQN32307905_5_38,0.35051340474372517,0.03990563560191399,0.7181772809583518,0.3327160305503548,0.1743800766353336,19.714285714285715,1.0,7,1.0,
39,CombSequentialDQN32307905/CombSequentialDQN32307905_5_39,0.2847335432306182,0.04668529824279128,0.4201022982308798,0.03125453521741284,0.2723011833503633,18.583333333333332,0.75,12,1.0,
40,CombSequentialDQN32307905/CombSequentialDQN32307905_5_40,0.3025265118851633,0.04989992836835861,0.31484762424808393,0.12045661328526103,0.47963284016673097,16.5,0.6666666666666667,18,1.0,
41,CombSequentialDQN32307905/CombSequentialDQN32307905_5_41,0.32519342414568303,0.09719569751330029,0.2943734913940097,0.20597119769984829,0.5078117087604666,16.0,0.6470588235294117,17,1.0,
42,CombSequentialDQN32307905/CombSequentialDQN32307905_5_42,0.2590687245247392,0.044738579452694896,0.2455051291520699,0.12405697272929961,0.6020764820808832,17.333333333333332,0.7222222222222222,18,1.0,
43,CombSequentialDQN32307905/CombSequentialDQN32307905_5_43,0.2627293544144078,0.04545198089593622,0.16235242265042527,0.08149742245428004,0.5433161766283263,19.235294117647058,0.7058823529411764,17,1.0,
44,CombSequentialDQN32307905/CombSequentialDQN32307905_5_44,0.26793628307480255,0.04090622536972482,0.20395907273446323,0.054394410033857366,0.5777740556891422,18.529411764705884,0.7058823529411764,17,1.0,
45,CombSequentialDQN32307905/CombSequentialDQN32307905_5_45,0.24199696173356605,0.03729756810191438,0.11271907455066003,0.11908333245258274,0.646240359793981,19.823529411764707,0.47058823529411764,17,1.0,
46,CombSequentialDQN32307905/CombSequentialDQN32307905_5_46,0.4034273237320355,0.1728385852423132,0.35864378951958104,0.14861278143970502,0.43613192471058726,18.533333333333335,0.7333333333333334,15,1.0,
47,CombSequentialDQN32307905/CombSequentialDQN32307905_5_47,0.27867651232133245,0.042018959594098036,0.21985769151932363,0.15189796392737687,0.6060600357848047,17.77777777777778,0.6111111111111112,18,1.0,
48,CombSequentialDQN32307905/CombSequentialDQN32307905_5_48,0.24570143045993753,0.03788186191098661,0.4525404333802771,0.18831839632341874,0.38144797097775274,15.375,0.8125,16,1.0,
49,CombSequentialDQN32307905/CombSequentialDQN32307905_5_49,0.34679926744175354,0.046483715265588095,0.6634603161058747,0.33792973116918334,0.0974978086887433,12.88888888888889,1.0,9,1.0,
50,CombSequentialDQN32307905/CombSequentialDQN32307905_5_50,0.35093268453927895,0.1120833922178009,0.4614183002648535,0.2841937655635711,0.4548025409672886,22.384615384615383,1.0,13,1.0,
51,CombSequentialDQN32307905/CombSequentialDQN32307905_5_51,0.46070144317254685,0.18907716893029447,0.6314983808744499,0.2156923267913391,0.2874592906348395,14.23076923076923,0.8461538461538461,13,1.0,
52,CombSequentialDQN32307905/CombSequentialDQN32307905_5_52,0.24705767532602962,0.031349380933045665,0.4551227308897684,0.09507787714616311,0.17712958022697306,12.0,0.8461538461538461,13,1.0,
53,CombSequentialDQN32307905/CombSequentialDQN32307905_5_53,0.31621358034858166,0.04846127377495834,0.3223808878742404,0.2320559203692718,0.4831563737073831,17.647058823529413,0.7647058823529411,17,1.0,
54,CombSequentialDQN32307905/CombSequentialDQN32307905_5_54,0.3036939069785413,0.11799310859680168,0.2776652215649517,0.1987236383611597,0.49184691143282633,23.0,0.8333333333333334,12,1.0,
55,CombSequentialDQN32307905/CombSequentialDQN32307905_5_55,0.3301833696560201,0.10413453606260907,0.2968496655945728,0.12639118862068388,0.42826598151407635,19.066666666666666,0.8666666666666667,15,1.0,
56,CombSequentialDQN32307905/CombSequentialDQN32307905_5_56,0.3287126655753923,0.11744662692003094,0.43589433566665237,0.18048889120204326,0.1510856132660705,11.833333333333334,0.9166666666666666,12,1.0,
57,CombSequentialDQN32307905/CombSequentialDQN32307905_5_57,0.4106115117951681,0.16314030200603102,0.6340618424785717,0.11740696377358661,0.16214051635558557,14.875,1.0,8,1.0,
58,CombSequentialDQN32307905/CombSequentialDQN32307905_5_58,0.3011234167812727,0.047312344072533145,0.3433827485021847,0.12726231487923045,0.5321586088368997,18.25,0.8125,16,1.0,
59,CombSequentialDQN32307905/CombSequentialDQN32307905_5_59,0.31519091248065884,0.043666025826090575,0.5219562779916371,0.1686412444263442,0.09557932170784034,10.333333333333334,0.9166666666666666,12,1.0,
60,CombSequentialDQN32307905/CombSequentialDQN32307905_5_60,0.32324626595681905,0.04153770773836052,0.35994457655585405,0.20061496892365616,0.48440906000551814,23.0,0.6923076923076923,13,1.0,
61,CombSequentialDQN32307905/CombSequentialDQN32307905_5_61,0.3449045708398047,0.10889014774971455,0.31549101264693485,0.08958075449886704,0.46015222365376995,19.714285714285715,0.9285714285714286,14,1.0,
62,CombSequentialDQN32307905/CombSequentialDQN32307905_5_62,0.3472789968409024,0.10891272249728466,0.4292720650121516,0.1989166787978971,0.4771078653667717,17.3125,0.875,16,1.0,
63,CombSequentialDQN32307905/CombSequentialDQN32307905_5_63,0.5052448815654378,0.26939875109711026,0.5652902389184864,0.17623663391480393,0.394978398333693,13.529411764705882,0.8823529411764706,17,1.0,
64,CombSequentialDQN32307905/CombSequentialDQN32307905_5_64,0.39267133568652485,0.21186769508480105,0.524143156186823,0.31237426330578977,0.3558017519135372,23.0,0.9090909090909091,11,1.0,
