,org.mybatis.jpetstore.domain.Account,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.CartTest,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.OrderTest,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapperTest,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapperTest,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ItemMapperTest,org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.LineItemMapperTest,org.mybatis.jpetstore.mapper.MapperTestContext,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.OrderMapperTest,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.mapper.ProductMapperTest,org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.mapper.SequenceMapperTest,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.service.AccountServiceTest,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.service.CatalogServiceTest,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.service.OrderServiceTest,org.mybatis.jpetstore.web.actions.AbstractActionBean,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.web.actions.AccountActionBeanTest,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.CatalogActionBeanTest,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBeanTest,org.mybatis.jpetstore.ScreenTransitionIT,MavenWrapperDownloader$1,MavenWrapperDownloader
0,4,0,0,-1,3,0,0,2,-1,3,1,4,-1,3,-1,0,-1,0,-1,-1,2,-1,3,-1,1,-1,4,-1,3,-1,1,-1,5,4,-1,0,3,-1,5,-1,-1,-1,-1
1,3,0,0,-1,2,0,0,1,-1,2,1,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,1,-1,3,-1,2,-1,1,-1,1,3,-1,0,2,-1,1,-1,-1,-1,-1
2,3,0,0,-1,2,0,0,1,-1,2,1,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,1,-1,3,-1,2,-1,1,-1,1,3,-1,0,2,-1,1,-1,-1,-1,-1
3,4,0,0,-1,3,0,0,2,-1,3,1,4,-1,3,-1,0,-1,0,-1,-1,2,-1,3,-1,1,-1,4,-1,3,-1,1,-1,5,4,-1,0,3,-1,5,-1,-1,-1,-1
4,3,0,0,-1,2,0,0,1,-1,2,1,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,1,-1,3,-1,2,-1,1,-1,1,3,-1,0,2,-1,1,-1,-1,-1,-1
5,4,1,1,-1,3,1,1,2,-1,3,6,4,-1,5,-1,1,-1,0,-1,-1,2,-1,3,-1,6,-1,4,-1,3,-1,2,-1,4,4,-1,1,3,-1,2,-1,-1,-1,-1
6,3,0,0,-1,2,0,0,1,-1,2,1,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,1,-1,3,-1,2,-1,1,-1,1,3,-1,0,2,-1,1,-1,-1,-1,-1
7,3,0,0,-1,2,0,0,1,-1,2,1,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,1,-1,3,-1,2,-1,1,-1,1,3,-1,0,2,-1,1,-1,-1,-1,-1
8,3,0,0,-1,2,0,0,1,-1,2,4,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,4,-1,3,-1,2,-1,1,-1,3,3,-1,0,2,-1,1,-1,-1,-1,-1
9,3,0,0,-1,2,0,0,1,-1,2,1,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,1,-1,3,-1,2,-1,1,-1,1,3,-1,0,2,-1,1,-1,-1,-1,-1
10,3,0,0,-1,2,0,0,1,-1,2,1,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,1,-1,3,-1,2,-1,1,-1,1,3,-1,0,2,-1,1,-1,-1,-1,-1
11,3,0,0,-1,2,0,0,1,-1,2,1,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,1,-1,3,-1,2,-1,1,-1,1,3,-1,0,2,-1,1,-1,-1,-1,-1
12,3,0,0,-1,2,0,0,1,-1,2,1,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,1,-1,3,-1,2,-1,1,-1,1,3,-1,0,2,-1,1,-1,-1,-1,-1
13,3,0,0,-1,2,0,0,1,-1,2,5,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,5,-1,3,-1,2,-1,1,-1,4,3,-1,0,2,-1,1,-1,-1,-1,-1
14,3,0,0,-1,5,0,0,1,-1,2,6,3,-1,5,-1,0,-1,0,-1,-1,1,-1,2,-1,6,-1,3,-1,2,-1,1,-1,4,3,-1,0,2,-1,1,-1,-1,-1,-1
15,3,0,0,-1,2,0,0,1,-1,2,1,3,-1,2,-1,0,-1,0,-1,-1,1,-1,2,-1,1,-1,3,-1,2,-1,1,-1,3,3,-1,0,2,-1,1,-1,-1,-1,-1
