,integration.infrastructure.ConfigurationHelpers,integration.infrastructure.ConfigurationManager,integration.models.mrp.CatalogItem,integration.models.mrp.DeliveryAddress,integration.models.mrp.Order,integration.models.mrp.PhoneInfo,integration.models.mrp.Quote,integration.models.mrp.QuoteItemInfo,integration.models.mrp.ShipmentEventInfo,integration.models.mrp.ShipmentRecord,integration.models.website.OrderItem,integration.models.website.OrderMessage,integration.models.website.ProductItem,integration.models.website.ProductMessage,integration.models.QueueResponse,integration.scheduled.CreateOrderProcessTask,integration.scheduled.UpdateProductProcessTask,integration.services.MrpConnectService,integration.services.QueueFactory,integration.services.QueueService,integration.Constants,integration.Main,smpl.ordering.controllers.CatalogController,smpl.ordering.controllers.CatalogControllerTest,smpl.ordering.controllers.DealerController,smpl.ordering.controllers.DealerControllerTest,smpl.ordering.controllers.OrderController,smpl.ordering.controllers.OrderControllerTest,smpl.ordering.controllers.PingController,smpl.ordering.controllers.QuoteController,smpl.ordering.controllers.QuoteControllerTest,smpl.ordering.controllers.ShipmentController,smpl.ordering.controllers.ShipmentControllerTest,smpl.ordering.models.CatalogItem,smpl.ordering.models.DealerInfo,smpl.ordering.models.Delivery,smpl.ordering.models.DeliveryAddress,smpl.ordering.models.Order,smpl.ordering.models.OrderEventInfo,smpl.ordering.models.OrderStatus,smpl.ordering.models.OrderUpdateInfo,smpl.ordering.models.PhoneInfo,smpl.ordering.models.Quote,smpl.ordering.models.QuoteItemInfo,smpl.ordering.models.ShipmentEventInfo,smpl.ordering.models.ShipmentRecord,smpl.ordering.repositories.mock.test.MockCatalogItemsRepositoryTest,smpl.ordering.repositories.mock.test.MockDealersRepositoryTest,smpl.ordering.repositories.mock.test.MockOrderRepositoryTest,smpl.ordering.repositories.mock.test.MockQuoteRepositoryTest,smpl.ordering.repositories.mock.test.MockShipmentRepositoryTest,smpl.ordering.repositories.mock.MockCatalogItemsRepository,smpl.ordering.repositories.mock.MockDealersRepository,smpl.ordering.repositories.mock.MockOrderRepository,smpl.ordering.repositories.mock.MockQuoteRepository,smpl.ordering.repositories.mock.MockShipmentRepository,smpl.ordering.repositories.mongodb.models.CatalogItem,smpl.ordering.repositories.mongodb.models.Dealer,smpl.ordering.repositories.mongodb.models.OrderDetails,smpl.ordering.repositories.mongodb.models.QuoteDetails,smpl.ordering.repositories.mongodb.models.ShipmentDetails,smpl.ordering.repositories.mongodb.test.IntegrationTests,smpl.ordering.repositories.mongodb.test.MongoCatalogItemsRepositoryTest,smpl.ordering.repositories.mongodb.test.MongoDealersRepositoryTest,smpl.ordering.repositories.mongodb.test.MongoOrderRepositoryTest,smpl.ordering.repositories.mongodb.test.MongoQuoteRepositoryTest,smpl.ordering.repositories.mongodb.test.MongoShipmentRepositoryTest,smpl.ordering.repositories.mongodb.MongoCatalogItemsRepository,smpl.ordering.repositories.mongodb.MongoDealersRepository,smpl.ordering.repositories.mongodb.MongoOperationsWithRetry,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.repositories.CatalogItemsRepository,smpl.ordering.repositories.CatalogItemsRepositoryTest,smpl.ordering.repositories.DealersRepository,smpl.ordering.repositories.DealersRepositoryTest,smpl.ordering.repositories.OrderRepository,smpl.ordering.repositories.OrderRepositoryTest,smpl.ordering.repositories.QuoteRepository,smpl.ordering.repositories.QuoteRepositoryTest,smpl.ordering.repositories.RepositoryFactory$Repositories,smpl.ordering.repositories.RepositoryFactory,smpl.ordering.repositories.ShipmentRepository,smpl.ordering.repositories.ShipmentRepositoryTest,smpl.ordering.AppInsightsFilter,smpl.ordering.BadRequestException,smpl.ordering.ConfigurationRule,smpl.ordering.ConflictingRequestException,smpl.ordering.MongoDBProperties,smpl.ordering.OrderingConfiguration,smpl.ordering.OrderingInitializer,smpl.ordering.OrderingServiceProperties,smpl.ordering.PostgresqlProperties,smpl.ordering.PropertyHelper,smpl.ordering.SimpleCORSFilter,smpl.ordering.TestOrderingConfiguration,smpl.ordering.TestPath,smpl.ordering.Utility,smpl.ordering.UtilityTest
0,10,10,9,8,7,8,7,11,8,8,11,7,9,9,10,10,9,7,10,10,-1,-1,0,-1,3,-1,4,-1,1,2,-1,5,-1,0,3,5,5,4,4,-1,4,5,2,2,5,5,-1,-1,-1,-1,-1,0,3,4,2,5,0,3,4,2,5,-1,-1,-1,-1,-1,-1,0,3,1,4,2,5,0,-1,3,-1,4,-1,2,-1,-1,6,5,-1,1,12,-1,12,1,1,4,1,-1,1,-1,-1,0,1,-1
1,10,10,7,9,7,9,8,8,9,9,8,8,7,7,10,10,7,7,10,10,-1,-1,0,-1,3,-1,4,-1,1,2,-1,5,-1,0,3,5,5,4,4,-1,4,5,2,2,5,5,-1,-1,-1,-1,-1,0,3,4,2,5,0,3,4,2,5,-1,-1,-1,-1,-1,-1,0,3,1,4,2,5,0,-1,3,-1,4,-1,2,-1,-1,6,5,-1,1,11,-1,11,1,1,4,1,-1,1,-1,-1,0,1,-1
2,9,9,8,7,6,7,6,10,7,7,10,6,8,8,9,9,8,6,9,9,-1,-1,0,-1,3,-1,4,-1,1,2,-1,5,-1,0,3,5,5,4,4,-1,4,5,2,2,5,5,-1,-1,-1,-1,-1,0,3,4,2,5,0,3,4,2,5,-1,-1,-1,-1,-1,-1,0,3,1,4,2,5,0,-1,3,-1,4,-1,2,-1,-1,0,5,-1,1,11,-1,11,1,1,4,1,-1,1,-1,-1,3,1,-1
3,9,9,6,8,6,8,7,7,8,8,7,7,6,6,9,9,6,6,9,9,-1,-1,0,-1,3,-1,4,-1,1,2,-1,5,-1,0,3,5,5,4,4,-1,4,5,2,2,5,5,-1,-1,-1,-1,-1,0,3,4,2,5,0,3,4,2,5,-1,-1,-1,-1,-1,-1,0,3,1,4,2,5,0,-1,3,-1,4,-1,2,-1,-1,3,5,-1,1,10,-1,10,1,1,4,1,-1,1,-1,-1,0,1,-1
4,10,10,7,9,7,9,8,8,9,9,8,8,7,7,10,10,7,7,10,10,-1,-1,0,-1,3,-1,4,-1,1,2,-1,5,-1,0,3,5,5,4,4,-1,4,5,2,2,5,5,-1,-1,-1,-1,-1,0,3,4,2,5,0,3,4,2,5,-1,-1,-1,-1,-1,-1,0,3,1,4,2,5,0,-1,3,-1,4,-1,2,-1,-1,6,5,-1,1,11,-1,11,1,1,4,1,-1,1,-1,-1,0,1,-1
5,9,9,6,8,6,8,7,7,8,8,7,7,6,6,9,9,6,6,9,9,-1,-1,0,-1,3,-1,4,-1,1,2,-1,5,-1,0,3,5,5,4,4,-1,4,5,2,2,5,5,-1,-1,-1,-1,-1,0,3,4,2,5,0,3,4,2,5,-1,-1,-1,-1,-1,-1,0,3,1,4,2,5,0,-1,3,-1,4,-1,2,-1,-1,3,5,-1,1,10,-1,10,1,1,4,1,-1,1,-1,-1,0,1,-1
6,6,6,6,7,6,7,6,6,7,7,6,6,6,6,6,6,6,6,6,6,-1,-1,0,-1,3,-1,4,-1,1,2,-1,5,-1,0,3,5,5,4,4,-1,4,5,2,2,5,5,-1,-1,-1,-1,-1,0,3,4,2,5,0,3,4,2,5,-1,-1,-1,-1,-1,-1,0,3,1,4,2,5,0,-1,3,-1,4,-1,2,-1,-1,3,5,-1,1,4,-1,4,1,1,4,1,-1,1,-1,-1,0,1,-1
7,6,6,6,7,6,7,6,6,7,7,6,6,6,6,6,6,6,6,6,6,-1,-1,0,-1,3,-1,4,-1,1,2,-1,5,-1,0,3,5,5,4,4,-1,4,5,2,2,5,5,-1,-1,-1,-1,-1,0,3,4,2,5,0,3,4,2,5,-1,-1,-1,-1,-1,-1,0,3,1,4,2,5,0,-1,3,-1,4,-1,2,-1,-1,3,5,-1,1,4,-1,4,1,1,4,1,-1,1,-1,-1,0,1,-1
8,9,9,8,7,6,7,6,6,7,7,6,6,8,8,9,9,8,6,9,9,-1,-1,0,-1,3,-1,4,-1,1,2,-1,5,-1,0,3,5,5,4,4,-1,4,5,2,2,5,5,-1,-1,-1,-1,-1,0,3,4,2,5,0,3,4,2,5,-1,-1,-1,-1,-1,-1,0,3,1,4,2,5,0,-1,3,-1,4,-1,2,-1,-1,0,5,-1,1,10,-1,10,1,1,4,1,-1,1,-1,-1,3,1,-1
9,9,9,7,8,7,8,7,10,8,8,10,7,7,7,9,9,7,7,9,9,-1,-1,0,-1,3,-1,4,-1,1,2,-1,5,-1,0,3,5,5,4,4,-1,4,5,2,2,5,5,-1,-1,-1,-1,-1,0,3,4,2,5,0,3,4,2,5,-1,-1,-1,-1,-1,-1,0,3,1,4,2,5,0,-1,3,-1,4,-1,2,-1,-1,6,5,-1,1,11,-1,11,1,1,4,1,-1,1,-1,-1,0,1,-1
