,org.springframework.samples.petclinic.model.BaseEntity,org.springframework.samples.petclinic.model.NamedEntity,org.springframework.samples.petclinic.model.Owner,org.springframework.samples.petclinic.model.Person,org.springframework.samples.petclinic.model.Pet,org.springframework.samples.petclinic.model.PetType,org.springframework.samples.petclinic.model.Specialty,org.springframework.samples.petclinic.model.ValidatorTests,org.springframework.samples.petclinic.model.Vet,org.springframework.samples.petclinic.model.Vets,org.springframework.samples.petclinic.model.Visit,org.springframework.samples.petclinic.repository.jdbc.JdbcOwnerRepositoryImpl,org.springframework.samples.petclinic.repository.jdbc.JdbcPet,org.springframework.samples.petclinic.repository.jdbc.JdbcPetRepositoryImpl,org.springframework.samples.petclinic.repository.jdbc.JdbcPetRowMapper,org.springframework.samples.petclinic.repository.jdbc.JdbcPetVisitExtractor,org.springframework.samples.petclinic.repository.jdbc.JdbcVetRepositoryImpl$1,org.springframework.samples.petclinic.repository.jdbc.JdbcVetRepositoryImpl,org.springframework.samples.petclinic.repository.jdbc.JdbcVisitRepositoryImpl,org.springframework.samples.petclinic.repository.jdbc.JdbcVisitRowMapper,org.springframework.samples.petclinic.repository.jdbc.OneToManyResultSetExtractor$ExpectedResults,org.springframework.samples.petclinic.repository.jdbc.OneToManyResultSetExtractor,org.springframework.samples.petclinic.repository.jpa.JpaOwnerRepositoryImpl,org.springframework.samples.petclinic.repository.jpa.JpaPetRepositoryImpl,org.springframework.samples.petclinic.repository.jpa.JpaVetRepositoryImpl,org.springframework.samples.petclinic.repository.jpa.JpaVisitRepositoryImpl,org.springframework.samples.petclinic.repository.springdatajpa.SpringDataOwnerRepository,org.springframework.samples.petclinic.repository.springdatajpa.SpringDataPetRepository,org.springframework.samples.petclinic.repository.springdatajpa.SpringDataVetRepository,org.springframework.samples.petclinic.repository.springdatajpa.SpringDataVisitRepository,org.springframework.samples.petclinic.repository.OwnerRepository,org.springframework.samples.petclinic.repository.PetRepository,org.springframework.samples.petclinic.repository.VetRepository,org.springframework.samples.petclinic.repository.VisitRepository,org.springframework.samples.petclinic.service.AbstractClinicServiceTests,org.springframework.samples.petclinic.service.ClinicService,org.springframework.samples.petclinic.service.ClinicServiceImpl,org.springframework.samples.petclinic.service.ClinicServiceJdbcTests,org.springframework.samples.petclinic.service.ClinicServiceJpaTests,org.springframework.samples.petclinic.service.ClinicServiceSpringDataJpaTests,org.springframework.samples.petclinic.util.CallMonitoringAspect,org.springframework.samples.petclinic.util.EntityUtils,org.springframework.samples.petclinic.web.CrashController,org.springframework.samples.petclinic.web.CrashControllerTests,org.springframework.samples.petclinic.web.OwnerController,org.springframework.samples.petclinic.web.OwnerControllerTests,org.springframework.samples.petclinic.web.PetController,org.springframework.samples.petclinic.web.PetControllerTests,org.springframework.samples.petclinic.web.PetTypeFormatter,org.springframework.samples.petclinic.web.PetTypeFormatterTests$1,org.springframework.samples.petclinic.web.PetTypeFormatterTests$2,org.springframework.samples.petclinic.web.PetTypeFormatterTests,org.springframework.samples.petclinic.web.PetValidator,org.springframework.samples.petclinic.web.VetController,org.springframework.samples.petclinic.web.VetControllerTests,org.springframework.samples.petclinic.web.VisitController,org.springframework.samples.petclinic.web.VisitControllerTests,org.springframework.samples.petclinic.PetclinicInitializer,MavenWrapperDownloader$1,MavenWrapperDownloader
0,4,2,3,4,2,2,5,-1,5,6,1,3,0,2,0,0,-1,5,1,1,-1,-1,3,2,5,1,3,2,5,1,3,2,5,1,-1,2,2,-1,-1,-1,-1,5,-1,-1,3,-1,2,-1,2,-1,-1,-1,2,6,-1,2,-1,-1,-1,-1
1,4,2,3,4,2,2,5,-1,5,6,1,3,0,2,0,0,-1,5,1,1,-1,-1,3,2,5,1,3,2,5,1,3,2,5,1,-1,2,2,-1,-1,-1,-1,5,-1,-1,3,-1,2,-1,2,-1,-1,-1,2,6,-1,2,-1,-1,-1,-1
2,4,2,3,4,2,2,5,-1,5,6,1,3,0,2,0,0,-1,5,1,1,-1,-1,3,2,5,1,3,2,5,1,3,2,5,1,-1,2,2,-1,-1,-1,-1,5,-1,-1,3,-1,2,-1,2,-1,-1,-1,2,6,-1,2,-1,-1,-1,-1
3,4,2,3,4,2,2,6,-1,6,7,1,3,0,2,0,0,-1,6,1,1,-1,-1,3,2,6,1,3,2,6,1,3,2,6,1,-1,5,1,-1,-1,-1,-1,6,-1,-1,3,-1,2,-1,5,-1,-1,-1,2,7,-1,5,-1,-1,-1,-1
4,3,2,3,3,2,2,4,-1,4,4,1,3,0,2,0,0,-1,4,1,1,-1,-1,3,2,4,1,3,2,4,1,3,2,4,1,-1,1,1,-1,-1,-1,-1,4,-1,-1,3,-1,2,-1,1,-1,-1,-1,2,4,-1,1,-1,-1,-1,-1
5,5,5,3,5,2,2,7,-1,7,8,1,3,0,2,0,0,-1,7,4,1,-1,-1,3,2,7,4,3,2,7,4,3,2,7,4,-1,1,1,-1,-1,-1,-1,3,-1,-1,3,-1,6,-1,2,-1,-1,-1,6,8,-1,1,-1,-1,-1,-1
6,3,2,3,3,2,2,4,-1,4,4,1,3,0,2,0,0,-1,4,1,1,-1,-1,3,2,4,1,3,2,4,1,3,2,4,1,-1,1,1,-1,-1,-1,-1,4,-1,-1,3,-1,2,-1,1,-1,-1,-1,2,4,-1,1,-1,-1,-1,-1
7,3,2,3,3,2,2,4,-1,4,4,1,3,0,2,0,0,-1,4,1,1,-1,-1,3,2,4,1,3,2,4,1,3,2,4,1,-1,1,1,-1,-1,-1,-1,4,-1,-1,3,-1,2,-1,1,-1,-1,-1,2,4,-1,1,-1,-1,-1,-1
8,5,2,3,5,2,2,6,-1,6,7,1,3,0,2,0,0,-1,6,4,1,-1,-1,3,2,6,4,3,2,6,4,3,2,6,4,-1,1,1,-1,-1,-1,-1,3,-1,-1,3,-1,0,-1,2,-1,-1,-1,2,7,-1,1,-1,-1,-1,-1
9,3,2,3,3,2,2,4,-1,4,4,1,3,0,2,0,0,-1,4,1,1,-1,-1,3,2,4,1,3,2,4,1,3,2,4,1,-1,1,1,-1,-1,-1,-1,4,-1,-1,3,-1,2,-1,1,-1,-1,-1,2,4,-1,1,-1,-1,-1,-1
10,3,2,3,3,2,2,4,-1,4,4,1,3,0,2,0,0,-1,4,1,1,-1,-1,3,2,4,1,3,2,4,1,3,2,4,1,-1,1,1,-1,-1,-1,-1,4,-1,-1,3,-1,2,-1,1,-1,-1,-1,2,4,-1,1,-1,-1,-1,-1
11,3,2,3,3,2,2,4,-1,4,4,1,3,0,2,0,0,-1,4,1,1,-1,-1,3,2,4,1,3,2,4,1,3,2,4,1,-1,1,1,-1,-1,-1,-1,4,-1,-1,3,-1,2,-1,1,-1,-1,-1,2,4,-1,1,-1,-1,-1,-1
12,3,2,3,3,2,2,4,-1,4,4,1,3,0,2,0,0,-1,4,1,1,-1,-1,3,2,4,1,3,2,4,1,3,2,4,1,-1,1,1,-1,-1,-1,-1,4,-1,-1,3,-1,2,-1,1,-1,-1,-1,2,4,-1,1,-1,-1,-1,-1
13,4,4,3,4,2,2,5,-1,5,7,1,3,0,2,0,0,-1,5,1,1,-1,-1,3,2,5,1,3,2,5,1,3,2,5,1,-1,2,2,-1,-1,-1,-1,5,-1,-1,3,-1,2,-1,6,-1,-1,-1,2,7,-1,1,-1,-1,-1,-1
14,4,4,3,5,2,2,4,-1,6,7,1,3,0,2,0,0,-1,6,1,1,-1,-1,3,2,6,1,3,2,6,1,3,2,6,1,-1,2,2,-1,-1,-1,-1,8,-1,-1,3,-1,2,-1,2,-1,-1,-1,2,7,-1,2,-1,-1,-1,-1
15,3,2,3,3,2,2,4,-1,4,4,1,3,0,2,0,0,-1,4,1,1,-1,-1,3,2,4,1,3,2,4,1,3,2,4,1,-1,1,1,-1,-1,-1,-1,4,-1,-1,3,-1,2,-1,1,-1,-1,-1,2,4,-1,1,-1,-1,-1,-1
16,3,2,3,3,2,2,4,-1,4,4,1,3,0,2,0,0,-1,4,1,1,-1,-1,3,2,4,1,3,2,4,1,3,2,4,1,-1,1,1,-1,-1,-1,-1,4,-1,-1,3,-1,2,-1,1,-1,-1,-1,2,4,-1,1,-1,-1,-1,-1
17,5,2,3,5,2,2,6,-1,6,7,1,3,0,2,0,0,-1,6,4,1,-1,-1,3,2,6,4,3,2,6,4,3,2,6,4,-1,1,1,-1,-1,-1,-1,6,-1,-1,3,-1,2,-1,1,-1,-1,-1,2,7,-1,1,-1,-1,-1,-1
18,4,2,3,4,2,2,6,-1,6,7,1,3,0,2,0,0,-1,6,1,1,-1,-1,3,2,8,1,3,2,8,1,3,2,8,1,-1,1,1,-1,-1,-1,-1,6,-1,-1,3,-1,5,-1,2,-1,-1,-1,5,7,-1,1,-1,-1,-1,-1
19,4,2,3,4,2,2,5,-1,5,6,1,3,0,2,0,0,-1,5,1,1,-1,-1,3,2,5,1,3,2,5,1,3,2,5,1,-1,1,1,-1,-1,-1,-1,5,-1,-1,3,-1,2,-1,2,-1,-1,-1,2,6,-1,1,-1,-1,-1,-1
20,4,2,3,4,2,2,5,-1,5,6,1,3,0,2,0,0,-1,5,1,1,-1,-1,3,2,5,1,3,2,5,1,3,2,5,1,-1,2,2,-1,-1,-1,-1,5,-1,-1,3,-1,2,-1,2,-1,-1,-1,2,6,-1,2,-1,-1,-1,-1
21,4,2,3,4,2,2,6,-1,6,7,1,3,0,2,0,0,-1,6,1,1,-1,-1,3,2,6,1,3,2,6,1,3,2,6,1,-1,5,2,-1,-1,-1,-1,6,-1,-1,3,-1,2,-1,5,-1,-1,-1,2,7,-1,5,-1,-1,-1,-1
22,3,2,3,3,2,2,4,-1,4,4,1,3,0,2,0,0,-1,4,1,1,-1,-1,3,2,4,1,3,2,4,1,3,2,4,1,-1,1,1,-1,-1,-1,-1,4,-1,-1,3,-1,2,-1,2,-1,-1,-1,2,4,-1,1,-1,-1,-1,-1
23,4,2,3,4,2,2,5,-1,5,6,1,3,0,2,0,0,-1,5,1,1,-1,-1,3,2,5,1,3,2,5,1,3,2,5,1,-1,2,3,-1,-1,-1,-1,5,-1,-1,3,-1,2,-1,2,-1,-1,-1,2,6,-1,2,-1,-1,-1,-1
